747	747	747	747	747	747	747	747	747	747	747	747	747	747	747	747
714	714	714	714	714	714	714	714	714	714	714	714	714	714	714	714
712	712	712	712	712	712	712	712	712	712	712	712	712	712	712	712
714	714	714	714	714	714	714	714	714	714	714	714	714	714	714	714
747	747	748	714	749	832	747	747	747	747	747	747	747	747	747	747
747	784	747	714	749	714	747	32	33	1018	33	33	33	33	33	33
747	747	747	714	749	714	747	69	70	1014	963	963	963	963	963	963
747	747	747	714	749	714	785	69	963	944	963	963	963	940	981	981
747	747	747	714	749	714	747	69	963	977	981	981	981	943	963	963
783	747	747	714	749	714	747	69	889	963	963	963	963	972	973	974
747	747	747	714	749	714	747	69	963	963	888	889	963	972	1002	974
820	820	822	831	831	831	747	69	963	963	963	963	963	1009	1010	1011
